name,provider,image
Wild Fish Bonanza,Skywind,https://mediumrare.imgix.net/a2bc359b60343a87a8afefdcc7d547a6c28bd2d3f90141bb1014ce435c2a27bf?w=180&h=236&fit=min&auto=format
Big Gains,Red Tiger,https://mediumrare.imgix.net/dc35fa3ec73fe76852184e66695619af071550b0d02167d63a5f4d2ac15c5d99?w=180&h=236&fit=min&auto=format
You Can Piggy Bank On It,Pragmatic Play,https://mediumrare.imgix.net/b46bbcab63ae232d7d1b5424b9c2193a07459b6be5c96038482ca633a9edd773?w=180&h=236&fit=min&auto=format
The Luxe High Volatility,Hacksaw Gaming,https://mediumrare.imgix.net/fd82da71055518c38fe7bb95a0f9952fbc92c01f9ac4e9158d8d09ba4cfe95c2?w=180&h=236&fit=min&auto=format
The Luxe,Hacksaw Gaming,https://mediumrare.imgix.net/631492c465b7163dbb1218accdde2ea5c86ce4989556d82e0fb7c38039823343?w=180&h=236&fit=min&auto=format
Reel Warriors,AvatarUX,https://mediumrare.imgix.net/de78a923def82fcdaa3085ae99089aecbf07819a87e3aa48df2e04f176ec5f79?w=180&h=236&fit=min&auto=format
Chilli Heat Spicy Spins,Pragmatic Play,https://mediumrare.imgix.net/47e846d6e37c62553591120085626f1b1b99f7c0ab4815c4a2f2ac960794bdce?w=180&h=236&fit=min&auto=format
Battle Of Gods,Titan Gaming,https://mediumrare.imgix.net/66bcd283139c9ecd7a769f6447bf4b06eb465fb9c6fcadc89aaadc8d0fbb35a7?w=180&h=236&fit=min&auto=format
Forged in Fire,Paperclip Gaming,https://mediumrare.imgix.net/16d78a4ab09d50c010eaef1b258236a74890856a8ec0267a3a2b8499eb14b1d7?w=180&h=236&fit=min&auto=format
Voodoo Coins,Belatra,https://mediumrare.imgix.net/32fca9583ed8729df140f6ac9b628d8acb0a1774e8599ff66fa8c4fced41171d?w=180&h=236&fit=min&auto=format
Dragon's Treasure Quest,PG Soft,https://mediumrare.imgix.net/5df44a36f199216628bd6e6a29e2c100af4792aec54412eb4243293c98685d44?w=180&h=236&fit=min&auto=format
Colossus,Truelab,https://mediumrare.imgix.net/209e08c331401498c345da06018e7cde19581c0f121868b01e230a5aac3e9116?w=180&h=236&fit=min&auto=format
Rumble Mutts,Red Tiger,https://mediumrare.imgix.net/ce170c538b030f6dd5e646c5e2dbf818ecac8011336dd60a319b56c3a9857f2c?w=180&h=236&fit=min&auto=format
Big Bucks Saloon,BGaming,https://mediumrare.imgix.net/9545ebe07cff1dbaf8ec1e69a99f12da4a90e3dba3b3a4d3f3463713a6208701?w=180&h=236&fit=min&auto=format
Crown Conquest,Paperclip Gaming,https://mediumrare.imgix.net/a9e47ced695af1e07559161614722f44e47689d11a8072dac28b0c6fc7dafdf9?w=180&h=236&fit=min&auto=format
Cat's Soup,BGaming,https://mediumrare.imgix.net/6d2cddb91acbf1b01eefde118c7599506e391628dda7d74e997bca2349040760?w=180&h=236&fit=min&auto=format
The Big Bark: Golden Jackpots,Penguin King,https://mediumrare.imgix.net/55c55a816c2144afe6315c8860501298bf8cac05e2ec49de01ff0a3ffb6fe5ee?w=180&h=236&fit=min&auto=format
Diamond Desire Flame,Gamomat,https://mediumrare.imgix.net/5c0d6b1f49553fa459f89483c147aeacd47ca167d8798b35adcf8b0e3be4b02c?w=180&h=236&fit=min&auto=format
Super Pink Joker: Hold and Win,Playson,https://mediumrare.imgix.net/f47dd987c9f93d7467b38d8f09c3f7ff11115910a795ec104e5de9b7b10352e8?w=180&h=236&fit=min&auto=format
40 Super Clover,Novomatic,https://mediumrare.imgix.net/c70230904dd9d3595083f4186dc486f7c4a44059f1fcfa5017dfab0d1a8819c5?w=180&h=236&fit=min&auto=format
Amazonia Wins,3 Oaks Gaming,https://mediumrare.imgix.net/7bcf493f184b826d8abfcff46aea218e784889a6b76d0e742fe213b9fd6f776e?w=180&h=236&fit=min&auto=format
